timestamp,roll_accel_deg,gyro_y_angle_deg
2026-01-23T03:19:54.382568,29.637384651002776,4.71482053399086e-06
2026-01-23T03:19:54.658324,15.387277775567544,-0.33242635618080385
2026-01-23T03:19:54.933879,56.73351223201844,5.2798943397647236
2026-01-23T03:19:55.209943,110.93518063014413,6.016178322170163
2026-01-23T03:19:55.486165,160.5647074147788,8.602643978520064
2026-01-23T03:19:55.761908,172.3210361926313,9.46611386461882
2026-01-23T03:19:56.037605,141.09778797118082,10.825114281033166
2026-01-23T03:19:56.313464,-176.51513755609054,11.775821993069258
2026-01-23T03:19:56.589206,162.5728567465751,12.832374944991898
2026-01-23T03:19:56.865134,163.16125615662057,12.769220251357183
2026-01-23T03:19:57.143402,47.862405226111754,14.124964436632581
2026-01-23T03:19:57.477230,146.59419806639616,14.923061564331874
2026-01-23T03:19:57.826239,138.32864999172122,15.79420893540373
2026-01-23T03:19:58.175889,-172.69590948645373,17.72723430985934
2026-01-23T03:19:58.519318,-53.008988098012345,23.88866082765162
2026-01-23T03:19:58.798806,-71.90966075820326,30.996230780147016
2026-01-23T03:19:59.074171,-73.09852964432305,37.376011059677694
2026-01-23T03:19:59.349613,-71.76154035518634,42.565157727949554
2026-01-23T03:19:59.625000,-73.02122638905975,47.957537448382936
2026-01-23T03:19:59.900381,-76.8304977865394,52.184888649208006
2026-01-23T03:20:00.176032,-80.8203604660167,56.69790320825996
2026-01-23T03:20:00.452022,-81.32951597059358,59.957506753562484
2026-01-23T03:20:00.727936,-83.57397194450427,63.29281794751296
2026-01-23T03:20:01.003642,-82.78405751839536,65.7094164416776
2026-01-23T03:20:01.279238,-83.84954698402262,68.6289447839954
2026-01-23T03:20:01.555580,-83.9714829293955,70.67700904372032
2026-01-23T03:20:01.832704,-86.7790725401707,73.89086720286286
2026-01-23T03:20:02.108586,-86.90067456835183,76.57963274323265
2026-01-23T03:20:02.384063,-86.11185698267448,78.74336333406973
2026-01-23T03:20:02.659415,-87.01319628809159,79.4915783808392
2026-01-23T03:20:02.934844,-86.86139717696601,78.93277768380358
2026-01-23T03:20:03.210808,-86.85147241980981,79.49591541182599
2026-01-23T03:20:03.486200,-86.63295034646441,80.26652650369215
2026-01-23T03:20:03.827283,-86.62880042756045,81.20360985049047
