timestamp,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps
2026-01-23T02:20:03.888381,0.24069946289062502,0.0580792236328125,9.787247314453126,0.0152587890625,0.030517578125,0.0
2026-01-23T02:20:04.163776,0.23231689453125,0.0413140869140625,9.79802490234375,0.030517578125,-0.0152587890625,0.0
2026-01-23T02:20:04.438990,0.2796185302734375,0.053887939453125006,9.875264282226563,0.091552734375,0.0152587890625,0.06103515625
2026-01-23T02:20:04.714955,0.2329156494140625,0.061072998046875,9.804012451171875,0.0457763671875,0.06103515625,0.0
2026-01-23T02:20:04.992157,0.247884521484375,0.053887939453125006,9.801617431640626,0.0457763671875,0.0,-0.0152587890625
2026-01-23T02:20:05.267421,0.238304443359375,0.0622705078125,9.814191284179689,0.0457763671875,-0.0152587890625,-0.0152587890625
2026-01-23T02:20:05.542791,0.22573059082031252,-0.08322692871093751,9.877659301757813,-14.801025390625,0.7171630859375,-2.105712890625
2026-01-23T02:20:05.818136,0.30296997070312504,-2.793790283203125,9.33099609375,-54.8858642578125,-2.1514892578125,-7.5531005859375
2026-01-23T02:20:06.093510,0.4508624267578125,-4.99840576171875,8.38975341796875,-36.529541015625,-3.5247802734375,0.1068115234375
2026-01-23T02:20:06.368840,0.5484594726562501,-5.9815612792968755,7.665858764648438,-16.5557861328125,-1.129150390625,0.1983642578125
2026-01-23T02:20:06.644122,0.59635986328125,-6.351591796875001,7.4149804687500005,-2.2735595703125,-0.762939453125,0.18310546875
2026-01-23T02:20:06.969861,1.02267333984375,-5.753435668945313,8.503516845703125,35.369873046875,-1.739501953125,0.6256103515625
2026-01-23T02:20:07.308177,0.2640509033203125,-3.6817437744140626,8.726253662109375,37.04833984375,11.7645263671875,-1.556396484375
2026-01-23T02:20:07.656880,0.6795867919921875,-1.2196636962890626,9.3453662109375,13.1683349609375,-16.448974609375,-4.7149658203125
2026-01-23T02:20:07.999920,0.87418212890625,0.0185614013671875,10.090816040039064,152.618408203125,48.858642578125,-26.0772705078125
2026-01-23T02:20:08.275314,-1.1981085205078126,7.8700341796875,5.9689874267578125,66.9403076171875,-14.3890380859375,19.8516845703125
2026-01-23T02:20:08.550747,-0.7298822021484376,8.7322412109375,4.611610107421876,26.6571044921875,8.1787109375,-0.5645751953125
