set,sensor,N,mean_signed_error_deg,MAE_deg,RMSE_deg,max_abs_error_deg
all,gyro,5,2.808434415773649,2.808434415773649,3.7530077948322536,6.536171250671089
all,accel,5,3.7042626919107895,3.7042626919107895,3.724947494203097,4.139541712437392
