timestamp,gyro_angle_around_y,gyro_angle_around_x,accel_angle_around_y,accel_angle_around_x,dt,gyro_dps_x,gyro_dps_y,gyro_dps_z,accel_ms2_x,accel_ms2_y,accel_ms2_z,gyro_raw_x,gyro_raw_y,gyro_raw_z,accel_raw_x,accel_raw_y,accel_raw_z
2026-02-06T07:03:50.581767,-0.0037613024238411703,0.001713068430660335,-6.074982073484789,3.3434849757302105,0.002439260482788086,0.7022900763358778,1.5419847328244274,-0.8854961832061069,-1.0340496826171877,0.5676196289062501,9.715995483398437,46,101,-58,-1727,948,16227
2026-02-06T07:03:50.681933,0.22403776008664197,-0.010517753717553523,-5.997046913728916,3.3960875857478405,0.10013985633850098,-0.12213740458015267,-2.2748091603053435,-0.549618320610687,-1.0196795654296875,0.5760021972656251,9.706415405273438,-8,-149,-36,-1703,962,16211
2026-02-06T07:03:50.781925,-0.15152634191149064,0.03833611320903283,-5.94351290060785,3.5257319863385,0.09999775886535645,0.48854961832061067,3.7557251908396947,-0.2748091603053435,-1.0106982421875002,0.5981561279296875,9.708211669921875,32,246,-18,-1688,999,16214
2026-02-06T07:03:50.881933,-0.05228884893519278,0.05207668915959715,-6.176043198050915,3.7359985769879804,0.10000085830688477,0.13740458015267176,-0.9923664122137404,0.15267175572519084,-1.047821044921875,0.63228515625,9.68306396484375,9,-65,10,-1750,1056,16172
2026-02-06T07:03:50.981924,0.017941431234811095,0.04291621783307491,-6.124125993524833,3.5276370946772695,0.10000181198120117,-0.0916030534351145,-0.7022900763358778,-0.2748091603053435,-1.0400372314453126,0.5975573730468751,9.693242797851562,-6,-46,-18,-1737,998,16189
2026-02-06T07:03:51.081912,0.04236766582226935,0.038336298847926484,-5.883930734801162,3.6813845214573155,0.09999489784240723,-0.04580152671755725,-0.24427480916030533,-0.7022900763358778,-0.9993218994140626,0.623902587890625,9.696835327148438,-3,-16,-46,-1669,1042,16195
2026-02-06T07:03:51.181933,0.013358676706561604,0.05360418785619372,-5.829343964050435,3.449638354803607,0.10000467300415039,0.15267175572519084,0.2900763358778626,-0.3053435114503817,-0.9897418212890625,0.5843847656250001,9.694440307617189,10,19,-20,-1653,976,16191
2026-02-06T07:03:51.281924,-0.09198247385389023,0.06123760456347284,-6.0787182410093346,3.4894110085404795,0.09999775886535645,0.07633587786259542,1.0534351145038168,-0.12213740458015267,-1.031055908203125,0.590372314453125,9.681866455078126,5,69,-8,-1722,986,16170
2026-02-06T07:03:51.381940,-0.22022937818337945,0.07039809772986493,-6.279956916438648,3.6204134679698408,0.10000205039978027,0.0916030534351145,1.282442748091603,0.030534351145038167,-1.0663824462890625,0.613125,9.6902490234375,6,84,2,-1781,1024,16184
2026-02-06T07:03:51.481989,-0.055237504362150025,-0.01820864932227681,-6.19355208674799,3.4183796925997605,0.10006451606750488,-0.8854961832061069,-1.6488549618320612,0.13740458015267176,-1.0508148193359375,0.5783972167968751,9.68306396484375,-58,-108,9,-1755,966,16172
2026-02-06T07:03:51.581927,0.15683588362832104,-0.08228837806759899,-6.071713101608628,3.5286011012562994,0.09993386268615723,-0.6412213740458015,-2.122137404580153,-0.549618320610687,-1.0328521728515625,0.5987548828125,9.710007934570314,-42,-139,-36,-1725,1000,16217
