set,sensor,N,mean_signed_error_deg,MAE_deg,RMSE_deg,max_abs_error_deg
all,gyro,5,-1.6938624025300733,1.6938624025300733,2.218682690545493,4.065938738466059
all,accel,5,0.1664627415447749,0.29487616818818857,0.40218861729295535,0.8143876442590852
