# fs_hz,100.0
# duration_s,4500
# gyro_offset_counts_x,1093
# gyro_offset_counts_y,-320
# gyro_offset_counts_z,-19

t_s,accel_x,accel_y,accel_z,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_corr,gyro_y_corr,gyro_z_corr
1.030064,2922,13586,8837,292,-197,-123,-801,123,-104
1.040064,2935,13599,8837,261,-160,-158,-832,160,-139
1.050063,2867,13641,8752,246,-141,-168,-847,179,-149
1.060063,2837,13706,8719,228,-124,-170,-865,196,-151
1.070063,2822,13748,8713,189,-88,-158,-904,232,-139
1.080063,2795,13717,8724,170,-70,-146,-923,250,-127
1.090063,2621,13765,8754,123,-64,-48,-970,256,-29
1.100064,2648,13730,8757,96,-90,-2,-997,230,17
1.110063,2834,13680,8738,61,-88,2,-1032,232,21
1.120064,2955,13580,8807,57,-53,-8,-1036,267,11
1.130064,2862,13621,8867,53,-37,-11,-1040,283,8
1.140063,2850,13659,8840,36,-58,0,-1057,262,19
1.150064,2892,13650,8790,27,-52,3,-1066,268,22
1.160064,2872,13593,8844,12,-13,9,-1081,307,28
1.170063,2865,13572,8913,6,-5,11,-1087,315,30
1.180063,2876,13532,8946,0,-9,13,-1093,311,32
1.190063,2915,13411,8907,-1,-8,11,-1094,312,30
1.200063,2924,13469,8918,0,-4,10,-1093,316,29
1.210063,2953,13502,9025,1,0,7,-1092,320,26
1.220062,2886,13431,9006,3,-6,5,-1090,314,24
1.230062,2899,13453,8927,7,-11,0,-1086,309,19
1.240064,2917,13523,8943,8,-5,-7,-1085,315,12
1.250064,2890,13564,8981,7,3,-19,-1086,323,0
1.260063,2752,13479,8975,4,-12,-19,-1089,308,0
1.270064,2779,13505,8975,0,-35,-17,-1093,285,2
1.280063,2853,13581,9004,-10,-81,-11,-1103,239,8
1.290071,2817,13568,8939,-18,-102,-7,-1111,218,12
1.300087,2788,13576,8872,-38,-132,5,-1131,188,24
1.310064,2892,13638,8847,-47,-134,7,-1140,186,26
1.320090,2905,13638,8845,-63,-108,12,-1156,212,31
